  cell  ,E,W,N,S
"(76, 1)",0,0,1,1
"(77, 1)",0,0,1,1
"(78, 1)",0,0,1,1
"(79, 1)",0,0,1,1
"(80, 1)",0,0,1,1
"(81, 1)",1,0,1,0
"(82, 1)",1,0,0,1
"(83, 1)",0,0,1,1
"(84, 1)",0,0,1,1
"(85, 1)",0,0,1,1
"(86, 1)",0,0,1,1
"(87, 1)",1,0,1,0
"(88, 1)",0,0,0,1
"(89, 1)",0,0,1,1
"(90, 1)",0,0,1,1
"(91, 1)",1,0,1,1
"(92, 1)",0,0,1,1
"(93, 1)",1,0,1,0
"(94, 1)",1,0,0,1
"(95, 1)",0,0,1,1
"(96, 1)",1,0,1,0
"(97, 1)",1,0,0,1
"(98, 1)",0,0,1,1
"(99, 1)",1,0,1,0
"(100, 1)",1,0,0,1
"(101, 1)",0,0,1,1
"(102, 1)",0,0,1,1
"(103, 1)",1,0,1,0
"(104, 1)",1,0,0,1
"(105, 1)",0,0,1,1
"(106, 1)",1,0,1,0
"(107, 1)",1,0,0,1
"(108, 1)",1,0,1,1
"(109, 1)",0,0,1,0
"(110, 1)",1,0,0,1
"(111, 1)",1,0,1,0
"(112, 1)",1,0,0,1
"(113, 1)",0,0,1,1
"(114, 1)",0,0,1,1
"(115, 1)",1,0,1,1
"(116, 1)",0,0,1,0
"(117, 1)",1,0,0,1
"(118, 1)",0,0,1,1
"(119, 1)",0,0,1,1
"(120, 1)",0,0,1,1
"(121, 1)",1,0,1,1
"(122, 1)",0,0,1,1
"(123, 1)",1,0,1,0
"(124, 1)",0,0,0,1
"(125, 1)",0,0,1,1
"(126, 1)",0,0,1,1
"(127, 1)",0,0,1,1
"(128, 1)",1,0,1,1
"(129, 1)",0,0,1,1
"(130, 1)",0,0,1,1
"(131, 1)",1,0,1,1
"(132, 1)",0,0,1,1
"(133, 1)",1,0,1,0
"(134, 1)",0,0,0,1
"(135, 1)",1,0,1,1
"(136, 1)",0,0,1,0
"(137, 1)",1,0,0,1
"(138, 1)",1,0,1,1
"(139, 1)",1,0,1,0
"(140, 1)",0,0,0,1
"(141, 1)",0,0,1,1
"(142, 1)",0,0,1,1
"(143, 1)",1,0,1,1
"(144, 1)",0,0,1,1
"(145, 1)",0,0,1,1
"(146, 1)",0,0,1,1
"(147, 1)",0,0,1,1
"(148, 1)",0,0,1,1
"(149, 1)",1,0,1,0
"(150, 1)",1,0,0,1
"(151, 1)",0,0,1,1
"(152, 1)",1,0,1,1
"(153, 1)",1,0,1,0
"(154, 1)",1,0,0,1
"(155, 1)",0,0,1,1
"(156, 1)",0,0,1,1
"(157, 1)",0,0,1,1
"(158, 1)",1,0,1,1
"(159, 1)",1,0,1,0
"(160, 1)",0,0,0,1
"(161, 1)",0,0,1,1
"(162, 1)",1,0,1,1
"(163, 1)",0,0,1,1
"(164, 1)",1,0,1,1
"(165, 1)",0,0,1,1
"(166, 1)",0,0,1,1
"(167, 1)",1,0,1,0
"(168, 1)",1,0,0,1
"(169, 1)",0,0,1,1
"(170, 1)",0,0,1,1
"(171, 1)",0,0,1,1
"(172, 1)",1,0,1,0
"(173, 1)",1,0,0,1
"(174, 1)",0,0,1,1
"(175, 1)",1,0,1,0
"(176, 1)",1,0,0,1
"(177, 1)",0,0,1,1
"(178, 1)",0,0,1,0
"(179, 1)",1,0,0,1
"(180, 1)",0,0,1,1
"(181, 1)",1,0,1,0
"(182, 1)",1,0,0,1
"(183, 1)",0,0,1,1
"(184, 1)",1,0,1,1
"(185, 1)",0,0,1,1
"(186, 1)",1,0,1,0
"(187, 1)",1,0,0,1
"(188, 1)",0,0,1,1
"(189, 1)",1,0,1,0
"(190, 1)",1,0,0,1
"(191, 1)",1,0,1,0
"(192, 1)",0,0,0,1
"(193, 1)",1,0,1,1
"(194, 1)",0,0,1,1
"(195, 1)",0,0,1,1
"(196, 1)",0,0,1,1
"(197, 1)",0,0,1,1
"(198, 1)",1,0,1,0
"(199, 1)",0,0,0,1
"(200, 1)",1,0,1,1
"(201, 1)",0,0,1,1
"(202, 1)",0,0,1,0
"(203, 1)",1,0,0,1
"(204, 1)",0,0,1,1
"(205, 1)",0,0,1,1
"(206, 1)",1,0,1,1
"(207, 1)",0,0,1,0
"(208, 1)",1,0,0,1
"(209, 1)",0,0,1,1
"(210, 1)",0,0,1,1
"(211, 1)",0,0,1,1
"(212, 1)",1,0,1,1
"(213, 1)",0,0,1,1
"(214, 1)",0,0,1,0
"(215, 1)",1,0,0,1
"(216, 1)",1,0,1,1
"(217, 1)",0,0,1,1
"(218, 1)",0,0,1,1
"(219, 1)",0,0,1,1
"(220, 1)",0,0,1,0
"(221, 1)",1,0,0,1
"(222, 1)",1,0,1,1
"(223, 1)",1,0,1,0
"(224, 1)",1,0,0,1
"(225, 1)",1,0,1,0
"(226, 1)",1,0,0,1
"(227, 1)",1,0,1,1
"(228, 1)",0,0,1,1
"(229, 1)",1,0,1,0
"(230, 1)",1,0,0,1
"(231, 1)",0,0,1,1
"(232, 1)",0,0,1,1
"(233, 1)",1,0,1,0
"(234, 1)",1,0,0,1
"(235, 1)",1,0,1,1
"(236, 1)",1,0,1,0
"(237, 1)",1,0,0,1
"(238, 1)",1,0,1,0
"(239, 1)",1,0,0,1
"(240, 1)",0,0,1,0
"(241, 1)",1,0,0,1
"(242, 1)",0,0,1,1
"(243, 1)",1,0,1,1
"(244, 1)",0,0,1,1
"(245, 1)",0,0,1,1
"(246, 1)",0,0,1,1
"(247, 1)",0,0,1,1
"(248, 1)",1,0,1,0
"(249, 1)",0,0,0,1
"(250, 1)",1,0,1,0
"(1, 2)",1,0,0,0
"(2, 2)",1,1,0,0
"(3, 2)",0,1,0,1
"(4, 2)",0,1,1,0
"(5, 2)",1,0,0,1
"(6, 2)",0,1,1,0
"(7, 2)",0,1,0,1
"(8, 2)",0,0,1,1
"(9, 2)",0,1,1,0
"(10, 2)",1,1,0,1
"(11, 2)",0,1,1,0
"(12, 2)",1,0,0,1
"(13, 2)",0,1,1,0
"(14, 2)",0,1,0,1
"(15, 2)",0,1,1,0
"(16, 2)",1,0,0,0
"(17, 2)",1,0,0,1
"(18, 2)",0,1,1,0
"(19, 2)",1,0,0,1
"(20, 2)",0,1,1,0
"(21, 2)",1,1,0,0
"(22, 2)",1,1,0,0
"(23, 2)",0,1,0,1
"(24, 2)",0,0,1,1
"(25, 2)",0,1,1,0
"(26, 2)",0,1,0,1
"(27, 2)",0,0,1,1
"(28, 2)",0,0,1,1
"(29, 2)",1,0,1,0
"(30, 2)",0,1,0,1
"(31, 2)",1,0,1,1
"(32, 2)",0,0,1,1
"(33, 2)",0,0,1,1
"(34, 2)",1,0,1,0
"(35, 2)",0,1,0,0
"(36, 2)",1,1,0,0
"(37, 2)",0,1,0,1
"(38, 2)",0,0,1,1
"(39, 2)",0,1,1,0
"(40, 2)",1,0,0,1
"(41, 2)",1,1,1,0
"(42, 2)",1,0,0,1
"(43, 2)",0,0,1,1
"(44, 2)",0,1,1,0
"(45, 2)",1,1,0,0
"(46, 2)",0,1,0,1
"(47, 2)",1,0,1,0
"(48, 2)",1,1,0,0
"(49, 2)",1,1,0,0
"(50, 2)",1,1,0,0
"(51, 2)",1,0,0,1
"(52, 2)",0,0,1,1
"(53, 2)",1,0,1,0
"(54, 2)",0,1,0,1
"(55, 2)",0,1,1,0
"(56, 2)",1,1,0,0
"(57, 2)",1,0,0,1
"(58, 2)",0,1,1,0
"(59, 2)",0,1,0,1
"(60, 2)",1,1,1,0
"(61, 2)",1,0,0,1
"(62, 2)",0,0,1,0
"(63, 2)",1,0,0,1
"(64, 2)",0,1,1,0
"(65, 2)",1,0,0,1
"(66, 2)",0,0,1,0
"(67, 2)",0,1,0,1
"(68, 2)",1,0,1,0
"(69, 2)",1,0,0,1
"(70, 2)",0,1,1,0
"(71, 2)",1,0,0,1
"(72, 2)",0,0,1,1
"(73, 2)",1,0,1,0
"(74, 2)",1,1,0,0
"(75, 2)",1,1,0,0
"(76, 2)",1,0,0,1
"(77, 2)",0,0,1,1
"(78, 2)",0,0,1,1
"(79, 2)",1,0,1,0
"(80, 2)",0,0,0,1
"(81, 2)",1,1,1,0
"(82, 2)",0,1,0,1
"(83, 2)",1,0,1,1
"(84, 2)",0,0,1,1
"(85, 2)",1,0,1,0
"(86, 2)",0,0,0,1
"(87, 2)",0,1,1,1
"(88, 2)",0,0,1,1
"(89, 2)",0,0,1,1
"(90, 2)",1,0,1,0
"(91, 2)",1,1,0,1
"(92, 2)",1,0,1,0
"(93, 2)",0,1,0,1
"(94, 2)",0,1,1,0
"(95, 2)",1,0,0,1
"(96, 2)",0,1,1,0
"(97, 2)",0,1,0,1
"(98, 2)",1,0,1,0
"(99, 2)",0,1,0,1
"(100, 2)",0,1,1,0
"(101, 2)",1,0,0,0
"(102, 2)",1,0,0,1
"(103, 2)",1,1,1,0
"(104, 2)",1,1,0,0
"(105, 2)",1,0,0,0
"(106, 2)",0,1,0,1
"(107, 2)",0,1,1,0
"(108, 2)",1,1,0,0
"(109, 2)",1,0,0,1
"(110, 2)",0,1,1,0
"(111, 2)",0,1,0,1
"(112, 2)",0,1,1,0
"(113, 2)",0,0,0,1
"(114, 2)",1,0,1,0
"(115, 2)",0,1,0,1
"(116, 2)",0,0,1,1
"(117, 2)",0,1,1,0
"(118, 2)",1,0,0,1
"(119, 2)",0,0,1,1
"(120, 2)",1,0,1,0
"(121, 2)",1,1,0,0
"(122, 2)",0,0,0,1
"(123, 2)",0,1,1,1
"(124, 2)",1,0,1,0
"(125, 2)",1,0,0,1
"(126, 2)",0,0,1,1
"(127, 2)",1,0,1,0
"(128, 2)",0,1,0,1
"(129, 2)",0,0,1,1
"(130, 2)",1,0,1,0
"(131, 2)",1,1,0,0
"(132, 2)",0,0,0,1
"(133, 2)",0,1,1,1
"(134, 2)",1,0,1,0
"(135, 2)",1,1,0,1
"(136, 2)",0,0,1,1
"(137, 2)",0,1,1,0
"(138, 2)",1,1,0,0
"(139, 2)",0,1,0,1
"(140, 2)",0,0,1,1
"(141, 2)",0,0,1,1
"(142, 2)",1,0,1,0
"(143, 2)",1,1,0,0
"(144, 2)",1,0,0,1
"(145, 2)",1,0,1,1
"(146, 2)",0,0,1,1
"(147, 2)",0,0,1,1
"(148, 2)",0,0,1,0
"(149, 2)",1,1,0,0
"(150, 2)",0,1,0,1
"(151, 2)",0,0,1,0
"(152, 2)",1,1,0,0
"(153, 2)",0,1,0,0
"(154, 2)",1,1,0,0
"(155, 2)",0,0,0,1
"(156, 2)",1,0,1,1
"(157, 2)",1,0,1,0
"(158, 2)",1,1,0,0
"(159, 2)",0,1,0,1
"(160, 2)",1,0,1,0
"(161, 2)",1,0,0,1
"(162, 2)",0,1,1,0
"(163, 2)",1,0,0,1
"(164, 2)",0,1,1,0
"(165, 2)",1,0,0,1
"(166, 2)",1,0,1,0
"(167, 2)",1,1,0,0
"(168, 2)",1,1,0,0
"(169, 2)",0,0,0,1
"(170, 2)",0,0,1,1
"(171, 2)",1,0,1,0
"(172, 2)",0,1,0,1
"(173, 2)",0,1,1,0
"(174, 2)",1,0,0,0
"(175, 2)",1,1,0,0
"(176, 2)",1,1,0,0
"(177, 2)",1,0,0,1
"(178, 2)",0,0,1,1
"(179, 2)",0,1,1,0
"(180, 2)",1,0,0,0
"(181, 2)",0,1,0,1
"(182, 2)",0,1,1,1
"(183, 2)",0,0,1,0
"(184, 2)",1,1,0,0
"(185, 2)",1,0,0,0
"(186, 2)",1,1,0,0
"(187, 2)",1,1,0,0
"(188, 2)",1,0,0,1
"(189, 2)",0,1,1,0
"(190, 2)",1,1,0,0
"(191, 2)",1,1,0,0
"(192, 2)",1,0,0,1
"(193, 2)",0,1,1,0
"(194, 2)",1,0,0,1
"(195, 2)",0,0,1,1
"(196, 2)",0,0,1,1
"(197, 2)",1,0,1,0
"(198, 2)",1,1,0,0
"(199, 2)",1,0,0,1
"(200, 2)",0,1,1,0
"(201, 2)",1,0,0,1
"(202, 2)",0,0,1,1
"(203, 2)",0,1,1,0
"(204, 2)",1,0,0,1
"(205, 2)",1,0,1,0
"(206, 2)",0,1,0,1
"(207, 2)",0,0,1,1
"(208, 2)",0,1,1,1
"(209, 2)",0,0,1,1
"(210, 2)",0,0,1,1
"(211, 2)",0,0,1,0
"(212, 2)",0,1,0,1
"(213, 2)",0,0,1,1
"(214, 2)",0,0,1,1
"(215, 2)",0,1,1,0
"(216, 2)",0,1,0,1
"(217, 2)",1,0,1,1
"(218, 2)",0,0,1,1
"(219, 2)",1,0,1,0
"(220, 2)",1,0,0,1
"(221, 2)",0,1,1,0
"(222, 2)",1,1,0,0
"(223, 2)",0,1,0,0
"(224, 2)",1,1,0,0
"(225, 2)",0,1,0,1
"(226, 2)",0,1,1,0
"(227, 2)",1,1,0,0
"(228, 2)",0,0,0,1
"(229, 2)",0,1,1,0
"(230, 2)",1,1,0,1
"(231, 2)",0,0,1,1
"(232, 2)",0,0,1,0
"(233, 2)",0,1,0,1
"(234, 2)",0,1,1,0
"(235, 2)",1,1,0,0
"(236, 2)",0,1,0,1
"(237, 2)",0,1,1,0
"(238, 2)",1,1,0,0
"(239, 2)",1,1,0,1
"(240, 2)",1,0,1,0
"(241, 2)",1,1,0,0
"(242, 2)",1,0,0,0
"(243, 2)",0,1,0,1
"(244, 2)",1,0,1,0
"(245, 2)",1,0,0,1
"(246, 2)",0,0,1,1
"(247, 2)",0,0,1,0
"(248, 2)",0,1,0,1
"(249, 2)",0,0,1,1
"(250, 2)",1,1,1,0
"(1, 3)",1,1,0,0
"(2, 3)",0,1,0,1
"(3, 3)",0,0,1,1
"(4, 3)",1,0,1,0
"(5, 3)",0,1,0,1
"(6, 3)",1,0,1,0
"(7, 3)",1,0,0,0
"(8, 3)",1,0,0,1
"(9, 3)",0,0,1,1
"(10, 3)",0,1,1,0
"(11, 3)",1,0,0,1
"(12, 3)",0,1,1,0
"(13, 3)",0,0,0,1
"(14, 3)",1,0,1,1
"(15, 3)",0,0,1,1
"(16, 3)",0,1,1,0
"(17, 3)",1,1,0,0
"(18, 3)",1,0,0,0
"(19, 3)",0,1,0,1
"(20, 3)",1,0,1,0
"(21, 3)",0,1,0,0
"(22, 3)",1,1,0,0
"(23, 3)",0,0,0,1
"(24, 3)",0,0,1,1
"(25, 3)",1,0,1,0
"(26, 3)",1,0,0,1
"(27, 3)",0,0,1,1
"(28, 3)",1,0,1,0
"(29, 3)",0,1,0,1
"(30, 3)",1,0,1,0
"(31, 3)",0,1,0,1
"(32, 3)",0,0,1,1
"(33, 3)",1,0,1,0
"(34, 3)",0,1,0,1
"(35, 3)",0,0,1,1
"(36, 3)",0,1,1,1
"(37, 3)",1,0,1,0
"(38, 3)",0,0,0,1
"(39, 3)",1,0,1,0
"(40, 3)",1,1,0,0
"(41, 3)",0,1,0,0
"(42, 3)",0,1,0,1
"(43, 3)",0,0,1,1
"(44, 3)",1,0,1,0
"(45, 3)",0,1,0,1
"(46, 3)",1,0,1,0
"(47, 3)",0,1,0,1
"(48, 3)",0,1,1,0
"(49, 3)",1,1,0,0
"(50, 3)",0,1,0,0
"(51, 3)",1,1,0,0
"(52, 3)",1,0,0,1
"(53, 3)",0,1,1,0
"(54, 3)",1,0,0,1
"(55, 3)",0,0,1,1
"(56, 3)",0,1,1,0
"(57, 3)",0,1,0,1
"(58, 3)",0,0,1,1
"(59, 3)",1,0,1,0
"(60, 3)",1,1,0,1
"(61, 3)",0,1,1,0
"(62, 3)",1,0,0,1
"(63, 3)",0,1,1,0
"(64, 3)",1,0,0,0
"(65, 3)",1,1,0,1
"(66, 3)",1,0,1,1
"(67, 3)",0,0,1,0
"(68, 3)",0,1,0,1
"(69, 3)",0,1,1,0
"(70, 3)",1,0,0,1
"(71, 3)",1,1,1,0
"(72, 3)",0,0,0,1
"(73, 3)",0,1,1,0
"(74, 3)",1,1,0,0
"(75, 3)",1,1,0,1
"(76, 3)",0,1,1,0
"(77, 3)",0,0,0,1
"(78, 3)",1,0,1,0
"(79, 3)",0,1,0,1
"(80, 3)",1,0,1,0
"(81, 3)",0,1,0,1
"(82, 3)",1,0,1,0
"(83, 3)",0,1,0,0
"(84, 3)",1,0,0,1
"(85, 3)",0,1,1,0
"(86, 3)",1,0,0,1
"(87, 3)",0,0,1,1
"(88, 3)",0,0,1,1
"(89, 3)",1,0,1,0
"(90, 3)",1,1,0,0
"(91, 3)",0,1,0,0
"(92, 3)",1,1,0,0
"(93, 3)",1,0,0,1
"(94, 3)",1,0,1,0
"(95, 3)",1,1,0,0
"(96, 3)",0,0,0,1
"(97, 3)",1,0,1,0
"(98, 3)",1,1,0,0
"(99, 3)",0,0,0,1
"(100, 3)",1,0,1,1
"(101, 3)",1,1,1,0
"(102, 3)",1,1,0,0
"(103, 3)",1,1,0,0
"(104, 3)",0,1,0,1
"(105, 3)",1,1,1,0
"(106, 3)",1,0,0,1
"(107, 3)",1,0,1,0
"(108, 3)",0,1,0,1
"(109, 3)",0,1,1,0
"(110, 3)",1,0,0,1
"(111, 3)",0,0,1,1
"(112, 3)",1,0,1,0
"(113, 3)",1,0,0,1
"(114, 3)",1,1,1,0
"(115, 3)",0,0,0,1
"(116, 3)",0,0,1,1
"(117, 3)",1,0,1,0
"(118, 3)",0,1,0,1
"(119, 3)",1,0,1,0
"(120, 3)",0,1,0,1
"(121, 3)",0,1,1,0
"(122, 3)",1,0,0,1
"(123, 3)",1,0,1,0
"(124, 3)",0,1,0,1
"(125, 3)",0,1,1,0
"(126, 3)",1,0,0,0
"(127, 3)",0,1,0,1
"(128, 3)",1,0,1,0
"(129, 3)",0,0,0,1
"(130, 3)",1,1,1,0
"(131, 3)",0,1,0,1
"(132, 3)",1,0,1,0
"(133, 3)",0,0,0,1
"(134, 3)",1,1,1,0
"(135, 3)",0,1,0,0
"(136, 3)",1,0,0,1
"(137, 3)",0,0,1,1
"(138, 3)",0,1,1,0
"(139, 3)",1,0,0,1
"(140, 3)",0,0,1,1
"(141, 3)",1,0,1,0
"(142, 3)",0,1,0,1
"(143, 3)",0,1,1,0
"(144, 3)",0,1,0,0
"(145, 3)",0,1,0,1
"(146, 3)",0,0,1,1
"(147, 3)",1,0,1,1
"(148, 3)",1,0,1,0
"(149, 3)",1,1,0,0
"(150, 3)",1,0,0,1
"(151, 3)",1,0,1,0
"(152, 3)",0,1,0,1
"(153, 3)",1,0,1,0
"(154, 3)",0,1,0,1
"(155, 3)",0,0,1,1
"(156, 3)",0,1,1,0
"(157, 3)",1,1,0,0
"(158, 3)",0,1,0,1
"(159, 3)",1,0,1,0
"(160, 3)",1,1,0,0
"(161, 3)",1,1,0,0
"(162, 3)",1,0,0,1
"(163, 3)",0,1,1,0
"(164, 3)",1,0,0,1
"(165, 3)",0,1,1,0
"(166, 3)",1,1,0,0
"(167, 3)",0,1,0,1
"(168, 3)",0,1,1,0
"(169, 3)",1,0,0,1
"(170, 3)",0,0,1,1
"(171, 3)",0,1,1,1
"(172, 3)",0,0,1,1
"(173, 3)",1,0,1,1
"(174, 3)",0,1,1,0
"(175, 3)",1,1,0,0
"(176, 3)",1,1,0,0
"(177, 3)",1,1,0,0
"(178, 3)",1,0,0,1
"(179, 3)",0,0,1,1
"(180, 3)",0,1,1,1
"(181, 3)",1,0,1,0
"(182, 3)",1,0,0,1
"(183, 3)",0,0,1,1
"(184, 3)",0,1,1,0
"(185, 3)",0,1,0,1
"(186, 3)",0,1,1,1
"(187, 3)",0,1,1,0
"(188, 3)",0,1,0,1
"(189, 3)",0,0,1,1
"(190, 3)",0,1,1,0
"(191, 3)",1,1,0,0
"(192, 3)",1,1,0,0
"(193, 3)",1,0,0,1
"(194, 3)",0,1,1,0
"(195, 3)",1,0,0,1
"(196, 3)",1,0,1,0
"(197, 3)",1,1,0,0
"(198, 3)",0,1,0,1
"(199, 3)",0,1,1,0
"(200, 3)",1,0,0,1
"(201, 3)",0,1,1,1
"(202, 3)",0,0,1,1
"(203, 3)",0,0,1,0
"(204, 3)",1,1,0,0
"(205, 3)",1,1,0,0
"(206, 3)",1,0,0,1
"(207, 3)",1,0,1,0
"(208, 3)",1,0,0,1
"(209, 3)",1,0,1,0
"(210, 3)",1,0,0,1
"(211, 3)",0,0,1,1
"(212, 3)",0,0,1,1
"(213, 3)",0,0,1,1
"(214, 3)",1,0,1,0
"(215, 3)",1,0,0,1
"(216, 3)",1,0,1,0
"(217, 3)",0,1,0,0
"(218, 3)",1,0,0,1
"(219, 3)",0,1,1,0
"(220, 3)",0,1,0,1
"(221, 3)",1,0,1,0
"(222, 3)",0,1,0,1
"(223, 3)",0,0,1,1
"(224, 3)",0,1,1,0
"(225, 3)",1,0,0,0
"(226, 3)",1,0,0,1
"(227, 3)",0,1,1,0
"(228, 3)",1,0,0,1
"(229, 3)",0,0,1,1
"(230, 3)",0,1,1,0
"(231, 3)",1,0,0,1
"(232, 3)",0,0,1,1
"(233, 3)",0,0,1,1
"(234, 3)",1,0,1,0
"(235, 3)",0,1,0,1
"(236, 3)",1,0,1,0
"(237, 3)",1,0,0,1
"(238, 3)",0,1,1,0
"(239, 3)",0,1,0,0
"(240, 3)",1,1,0,0
"(241, 3)",0,1,0,1
"(242, 3)",1,1,1,0
"(243, 3)",1,0,0,0
"(244, 3)",1,1,0,0
"(245, 3)",1,1,0,1
"(246, 3)",1,0,1,0
"(247, 3)",1,0,0,1
"(248, 3)",1,0,1,0
"(249, 3)",1,0,0,1
"(250, 3)",0,1,1,0
"(1, 4)",1,1,0,1
"(2, 4)",0,0,1,0
"(3, 4)",1,0,0,1
"(4, 4)",0,1,1,0
"(5, 4)",1,0,0,1
"(6, 4)",1,1,1,0
"(7, 4)",1,1,0,0
"(8, 4)",1,1,0,0
"(9, 4)",1,0,0,1
"(10, 4)",1,0,1,0
"(11, 4)",0,1,0,1
"(12, 4)",0,0,1,1
"(13, 4)",1,0,1,0
"(14, 4)",0,1,0,1
"(15, 4)",0,0,1,1
"(16, 4)",1,0,1,0
"(17, 4)",1,1,0,0
"(18, 4)",0,1,0,1
"(19, 4)",0,0,1,1
"(20, 4)",1,1,1,0
"(21, 4)",1,0,0,1
"(22, 4)",0,1,1,0
"(23, 4)",1,0,0,1
"(24, 4)",0,0,1,1
"(25, 4)",0,1,1,0
"(26, 4)",0,1,0,1
"(27, 4)",1,0,1,0
"(28, 4)",0,1,0,1
"(29, 4)",0,0,1,1
"(30, 4)",0,1,1,0
"(31, 4)",0,0,0,1
"(32, 4)",1,0,1,1
"(33, 4)",0,1,1,0
"(34, 4)",1,0,0,1
"(35, 4)",1,0,1,0
"(36, 4)",0,0,0,1
"(37, 4)",0,1,1,1
"(38, 4)",0,0,1,1
"(39, 4)",0,1,1,0
"(40, 4)",1,1,0,0
"(41, 4)",1,0,0,1
"(42, 4)",0,0,1,1
"(43, 4)",0,0,1,1
"(44, 4)",0,1,1,0
"(45, 4)",1,0,0,0
"(46, 4)",1,1,0,0
"(47, 4)",0,0,0,1
"(48, 4)",1,0,1,0
"(49, 4)",0,1,0,1
"(50, 4)",1,0,1,0
"(51, 4)",1,1,0,0
"(52, 4)",1,1,0,0
"(53, 4)",1,0,0,1
"(54, 4)",0,1,1,0
"(55, 4)",1,0,0,1
"(56, 4)",0,0,1,1
"(57, 4)",0,0,1,1
"(58, 4)",0,0,1,1
"(59, 4)",0,1,1,0
"(60, 4)",0,1,0,0
"(61, 4)",1,0,0,1
"(62, 4)",0,1,1,0
"(63, 4)",1,0,0,1
"(64, 4)",0,1,1,1
"(65, 4)",1,1,1,0
"(66, 4)",0,1,0,0
"(67, 4)",1,0,0,1
"(68, 4)",1,0,1,1
"(69, 4)",0,0,1,0
"(70, 4)",1,1,0,0
"(71, 4)",0,1,0,1
"(72, 4)",0,0,1,1
"(73, 4)",0,0,1,1
"(74, 4)",0,1,1,0
"(75, 4)",0,1,0,1
"(76, 4)",0,0,1,1
"(77, 4)",1,0,1,0
"(78, 4)",1,1,0,1
"(79, 4)",1,0,1,0
"(80, 4)",1,1,0,0
"(81, 4)",1,0,0,0
"(82, 4)",0,1,0,1
"(83, 4)",1,0,1,0
"(84, 4)",0,1,0,1
"(85, 4)",0,0,1,1
"(86, 4)",0,1,1,1
"(87, 4)",0,0,1,1
"(88, 4)",0,0,1,0
"(89, 4)",1,1,0,0
"(90, 4)",0,1,0,1
"(91, 4)",1,0,1,0
"(92, 4)",1,1,0,1
"(93, 4)",0,1,1,0
"(94, 4)",1,1,0,0
"(95, 4)",0,1,0,1
"(96, 4)",0,0,1,1
"(97, 4)",1,1,1,0
"(98, 4)",0,1,0,1
"(99, 4)",1,0,1,0
"(100, 4)",1,1,0,0
"(101, 4)",0,1,0,0
"(102, 4)",1,1,0,0
"(103, 4)",0,1,0,1
"(104, 4)",1,0,1,0
"(105, 4)",1,1,0,0
"(106, 4)",0,1,0,0
"(107, 4)",1,1,0,1
"(108, 4)",1,0,1,0
"(109, 4)",0,0,0,1
"(110, 4)",1,1,1,0
"(111, 4)",0,0,0,1
"(112, 4)",0,1,1,1
"(113, 4)",0,1,1,0
"(114, 4)",0,1,0,1
"(115, 4)",0,0,1,1
"(116, 4)",0,0,1,1
"(117, 4)",1,1,1,0
"(118, 4)",1,0,0,0
"(119, 4)",0,1,0,1
"(120, 4)",0,0,1,1
"(121, 4)",0,0,1,1
"(122, 4)",0,1,1,0
"(123, 4)",0,1,0,1
